STATE,Q1,Q2,Q3,Q4p
United States,21561139,19520114,21170252,21494731
New England ,1141524,1035902,1121716,1137921
Connecticut,288368,262708,283601,288923
Maine ,68319,61496,67129,67839
Massachusetts ,600740,546546,590307,598562
New Hampshire ,88126,78691,86319,87300
Rhode Island ,61954,56285,61081,61578
Vermont ,34017,30175,33278,33718
Mideast ,3882625,3493919,3768023,3815646
Delaware ,76283,71611,76468,77688
District of Columbia ,145728,137972,144653,145777
Maryland ,431772,398609,427616,432909
New Jersey,641666,574018,625659,634903
New York,1778240,1587879,1705127,1724933
Pennsylvania ,808937,723830,788500,799437
Great Lakes ,2845797,2567212,2807752,2842428
Illinois ,884447,807383,875671,886565
Indiana,381902,344033,379293,385319
Michigan ,535153,475494,524828,528238
Ohio ,696274,626275,683460,694139
Wisconsin ,348021,314027,344500,348166
Plains ,1334416,1208190,1315096,1341349
Iowa ,196503,179037,195353,199948
Kansas,177917,161464,175465,178346
Minnesota ,384500,348034,379388,385485
Missouri ,330287,299131,325841,331577
Nebraska,132720,119692,129761,133062
North Dakota ,56417,49881,54044,55790
South Dakota ,56072,50951,55243,57142
Southeast ,4566004,4154333,4512857,4579081
Alabama ,229831,209852,228062,231736
Arkansas,131818,120812,130709,132956
Florida ,1121367,1026676,1111614,1123896
Georgia ,631346,580732,627667,637216
Kentucky,216580,193878,213169,216469
Louisiana ,250976,224129,244577,248281
Mississippi ,117099,105681,115900,118122
North Carolina ,600631,546776,594126,603013
South Carolina ,247817,224689,245473,248776
Tennessee ,379454,333194,369063,376233
Virginia ,562718,519912,557986,566425
West Virginia ,76366,68001,74511,75959
Southwest ,2495938,2244754,2438088,2497568
Arizona ,377476,350141,378297,383930
New Mexico,104462,93367,100777,102635
Oklahoma,195606,173061,186883,190776
Texas,1818394,1628185,1772132,1820226
Rocky Mountain ,773436,706242,766386,781324
Colorado ,400041,365009,394271,401074
Idaho ,85835,77384,85552,87358
Montana ,53285,47721,51934,53015
Utah ,195594,182895,198630,202824
Wyoming ,38680,33233,36000,37053
Far West,4400773,3992043,4322036,4380089
Alaska ,52864,45644,50413,52065
California ,3189703,2893054,3120386,3164343
Hawaii ,95364,83429,89866,90766
Nevada,180034,156421,175509,178426
Oregon ,257688,233799,253849,256498
Washington,625121,579695,632013,637991
